,MAE,RMSE,R2
Linear Regression,432594.9768878016,521583.5006395924,0.15553160499602925
Decision Tree,76769.76358197357,140064.61839105282,0.9391034631238715
Random Forest,61990.517895726494,114206.78287389153,0.9595126355908277
Gradient Boosting,122332.01229476901,164197.04604192436,0.9163113831413621
